	mrb_init_mrb	V:\ASP\moat-master\asp\sample_mruby/../tecsgen/tecsgen/tecs/mruby/nMruby_tMruby.c	108	exit
load.o	read_irep_record_1	V:\ASP\moat-master\mruby-1.2.0\src/load.c	88	memcpy
load.o	read_lineno_record_1	V:\ASP\moat-master\mruby-1.2.0\src/load.c	237	memcpy
load.o	read_binary_header	V:\ASP\moat-master\mruby-1.2.0\src/load.c	523	memcmp
load.o	read_binary_header	V:\ASP\moat-master\mruby-1.2.0\src/load.c	529	memcmp
load.o	mrb_read_irep_file	V:\ASP\moat-master\mruby-1.2.0\src/load.c	529	memcmp
load.o	read_irep	V:\ASP\moat-master\mruby-1.2.0\src/load.c	574	memcmp
load.o	read_irep	V:\ASP\moat-master\mruby-1.2.0\src/load.c	578	memcmp
load.o	read_irep	V:\ASP\moat-master\mruby-1.2.0\src/load.c	600	memcmp
load.o	mrb_read_irep_file	V:\ASP\moat-master\mruby-1.2.0\src/load.c	662	fread
load.o	mrb_read_irep_file	V:\ASP\moat-master\mruby-1.2.0\src/load.c	671	fread
print.o	printstr	V:\ASP\moat-master\mruby-1.2.0\src/print.c	16	fwrite
print.o	printstr	V:\ASP\moat-master\mruby-1.2.0\src/print.c	17	_impure_ptr
print.o	printstr	V:\ASP\moat-master\mruby-1.2.0\mrbgems\mruby-print\src/print.c	31	fwrite
print.o	mrb_printstr	V:\ASP\moat-master\mruby-1.2.0\mrbgems\mruby-print\src/print.c	46	_impure_ptr
proc.o	mrb_init_proc	V:\ASP\moat-master\mruby-1.2.0\src/proc.c	265	memset
state.o	mrb_open_core	V:\ASP\moat-master\mruby-1.2.0\src/state.c	37	memset
state.o	mrb_default_allocf	V:\ASP\moat-master\mruby-1.2.0\src/state.c	56	free
state.o	mrb_default_allocf	V:\ASP\moat-master\mruby-1.2.0\src/state.c	60	realloc
state.o	mrb_str_pool	V:\ASP\moat-master\mruby-1.2.0\src/state.c	201	memcpy
state.o	mrb_str_pool	V:\ASP\moat-master\mruby-1.2.0\src/state.c	210	memcpy
state.o	mrb_add_irep	V:\ASP\moat-master\mruby-1.2.0\src/state.c	259	memset
